HumanIsoID	IndividualID	SampleID	SampleIDother	ItemID	SkeletalElement	Position	SkeletalNote	Material	SequenceOrder	Collagen(%)	C_collagen(%)	N_collagen(%)	S_collagen(%)	C/N_collagen	C/S_collagen	N/S_collagen	δ13C_collagen(‰)	δ13C_collagenStandard	δ15N_collagen(‰)	δ15N_collagenStandard	δ34S_collagen(‰)	δ13C_carbonate(‰)	δ18O_carbonate(‰)	δ18O_carbonate(‰)_Standard	δ18O_phosphate(‰)	δ18O_phosphate(‰)_Standard	207Pb/206Pb	Error 207Pb/206Pb	207Pb/204Pb	Error 207Pb tp 204Pb	208Pb/206Pb	Error 208Pb/206Pb	208Pb/207Pb	Error 208Pb/ 207Pb	208Pb/204Pb	Error 208Pb/204Pb	206Pb/204Pb	Error 206Pb/204Pb	206Pb/207Pb	Error 206Pb/207Pb	IRSF	C/P_FTIR	BPI_FTIR	API_FTIR	C/C_FTIR	FTIR_pre_or_post	notes	CitationID	time_added	user_added	time_last_update	user_last_update
H4611	C09530	NEO602	\N	Item-12715	bone	\N	\N	bone collagen	\N	\N	\N	\N	\N	3.3	\N	\N	-19.4	VPDB	10.5	AIR	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	allen2024a	2024-08-14 13:56:42	sam@localhost	2024-08-14 13:56:42	sam@localhost
H4058	C12931	F8222	\N	Item-17612	tooth: M2	lower right	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	-14.17	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	wilhe2015a	2023-10-17 13:26:19	sam@localhost	2025-04-01 14:37:58	adrian@localhost
H4059	C12932	F8223	\N	Item-17613	tooth: M3	lower right	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	-11.35	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	wilhe2015a	2023-10-17 13:26:19	sam@localhost	2025-04-01 14:37:58	adrian@localhost
H4061	C12934	F8219	\N	Item-17615	tooth: P1	lower right	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	-13.29	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	wilhe2015a	2023-10-17 13:26:19	sam@localhost	2025-04-01 14:37:58	adrian@localhost
H4057	C12930	F7874	\N	Item-17611	tooth: P1	upper right	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	-13.56	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	wilhe2015a	2023-10-17 13:26:19	sam@localhost	2025-04-01 14:37:31	adrian@localhost
H4060	C12933	F8221	\N	Item-17614	tooth: M2	lower right	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	-13.63	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	wilhe2015a	2023-10-17 13:26:19	sam@localhost	2025-04-01 14:37:58	adrian@localhost
H4641	C09390	NEO855	\N	Item-12588	bone	\N	\N	bone collagen	\N	\N	\N	\N	\N	\N	\N	\N	-10.5	VPDB	14.5	AIR	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	allen2024a	2024-08-14 13:56:42	sam@localhost	2024-08-14 13:56:42	sam@localhost
H1004	C03944	\N	\N	\N	tooth: M	upper	tooth: M1 or M2 or M3	enamel	\N	\N	\N	\N	\N	\N	\N	\N	-20.5	\N	14	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	borić2013a	2022-08-18 10:19:04	sam@localhost	2025-06-10 12:18:31	samantha_scott_reiter@localhost
H1016	C03945	\N	\N	\N	tooth: M2	right	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	-21.5	\N	12.1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	borić2013a	2022-08-18 10:19:04	sam@localhost	2023-04-21 12:15:16	adrian@macelab-server.biochem.ucl.ac.uk
H1007	C08042	\N	\N	\N	tooth: M2	left	\N	enamel	\N	\N	\N	\N	\N	\N	\N	\N	-19.2	\N	15.1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	borić2013a	2022-08-18 10:19:04	sam@localhost	2022-08-18 10:21:00	sam@localhost
